Fighter_iD,Name,Record,Height,Weight,Reach,STANCE,DOB,SLpM,Str. Acc.,SApM,Str. Def,TD Avg.,TD Acc.,TD Def.,Sub. Avg.
854,Derek Downey, 11-4-0,"6' 1""",185,--,Orthodox,"Apr 27, 1980",0.32,100,3.36,12,2.4,16,0,0
855,Bill Duvall, 1-2-0,"6' 2""",185,--,Southpaw,--,0,0,2.4,40,0,0,0,0
856,Issac DeJesus, 12-7-1 (1 NC),--,145,--,,--,0,0,0,0,0,0,0,0
857,Ryan Diaz, 13-14-0,--,145,--,,--,0,0,0,0,0,0,0,0
858,Mike de la Torre, 14-7-0 (1 NC),"5' 11""",145,"71""",Orthodox,"Sep 22, 1986",3.21,39,4.75,51,0.36,16,83,0
859,David Douglas, 9-7-0,"5' 11""",155,--,,"Aug 16, 1981",0,0,0,0,0,0,0,0
860,Yorgan De Castro, 6-3-0,"6' 0""",250,"74""",Orthodox,"Dec 19, 1986",2.46,43,3.85,53,0,0,77,0
861,Jorge de Oliveira, 9-2-0,"5' 8""",155,--,Orthodox,"Jan 22, 1980",1.26,31,4.84,48,0,0,22,0
862,Micol Di Segni, 7-3-0,"5' 3""",115,"60""",Orthodox,"Dec 29, 1987",7.47,40,5.87,33,0,0,37,0
863,Antonio Dos Santos, 6-4-0,"5' 10""",185,--,Orthodox,"Jul 21, 1988",5.4,51,3.94,43,0,0,100,0
864,Edilberto de Oliveira, 29-15-2,"6' 0""",170,--,Orthodox,"Nov 22, 1982",4.12,32,6.79,61,0,0,0,0
865,Aisling Daly, 16-6-0,"5' 2""",115,"64""",Orthodox,"Dec 24, 1987",2.92,52,1.4,55,2.15,41,33,0.9
866,Antonio Duarte, 19-7-0,"5' 7""",135,--,,--,4.55,40,4.18,57,0,0,60,0
867,Rob Emerson, 18-12-0 (1 NC),"5' 9""",155,"70""",Orthodox,"Jul 30, 1981",2.5,30,2.83,64,2.02,52,65,0.4
868,Josh Emmett, 16-2-0,"5' 6""",145,"70""",Orthodox,"Mar 04, 1985",4.32,39,4.02,63,1.43,47,50,0.1
869,Eric Esch, 15-10-1,"5' 11""",350,--,Orthodox,"Aug 03, 1968",3.07,71,1.74,43,0,0,0,2
870,Oliver Enkamp, 7-2-0,"6' 0""",170,"77""",Switch,"Aug 10, 1991",2.38,36,3.55,37,0.87,16,0,0
871,Adli Edwards, 4-1-0,--,145,--,,"Aug 28, 1989",0,0,0,0,0,0,0,0
872,Johnny Eduardo, 28-12-0,"5' 7""",135,"71""",Orthodox,"Aug 03, 1978",2.89,38,3.34,63,0,0,62,0.5
873,Sijara Eubanks, 7-6-0,"5' 4""",135,"67""",Orthodox,"Apr 27, 1985",4.52,43,3.69,57,1.88,46,65,0.4
874,Frankie Edgar, 23-9-1,"5' 6""",135,"68""",Orthodox,"Oct 16, 1981",3.7,39,2.71,66,2.28,31,65,0.3
875,Nick Ertl, 8-6-0,"5' 9""",155,--,,--,1.34,69,1.59,41,1.88,50,0,0
876,Maurice Eazel, 7-15-0,"5' 7""",135,--,,--,0,0,0,0,0,0,0,0
877,Chel Erwin-Davis, 5-1-0,"6' 0""",170,--,,--,4.06,54,1.13,61,4.25,100,50,1.4
878,Josh Epps, 6-7-0,--,130,--,,"Aug 23, 1986",0,0,0,0,0,0,0,0
879,Pro Escobedo, 1-0-0,--,205,--,,--,0,0,0,0,0,0,0,0
880,Ian Entwistle, 9-3-0,"5' 5""",135,--,Orthodox,"Nov 19, 1986",0.11,7,7.36,31,0,0,0,12.1
881,Te Edwards, 6-3-0,"5' 8""",155,"72""",Orthodox,"Sep 11, 1990",1.5,41,4.15,44,0.72,100,44,0
882,Scott Ettling, 4-2-0,--,135,--,,--,0,0,0.54,83,8.04,100,0,0
883,Fred Ettish, 1-1-0,"6' 0""",180,--,Southpaw,--,0,0,0,0,0,0,0,0
884,Abdul-Kerim Edilov, 17-4-0,"6' 2""",205,--,Orthodox,"Nov 25, 1991",10.22,61,0.13,92,3.98,100,0,2
885,Carla Esparza, 19-6-0,"5' 1""",115,"63""",Orthodox,"Oct 10, 1987",2.34,43,2.75,53,3.53,37,48,0.3
886,Darren Elkins, 26-9-0,"5' 10""",145,"71""",Orthodox,"May 16, 1984",3.5,38,3.08,52,2.7,33,58,1.2
887,Yves Edwards, 42-22-1 (1 NC),"5' 9""",155,"73""",Southpaw,"Sep 30, 1976",2.91,42,2.34,66,0.76,53,69,0.7
888,Fedor Emelianenko, 36-5-0 (1 NC),"6' 0""",230,"74""",Orthodox,"Sep 28, 1976",3.18,51,1,63,2,63,82,1.9
889,Juan Espino, 11-2-0,"6' 3""",255,"80""",,"Oct 09, 1980",2.38,70,1.95,40,8.93,78,50,2.4
890,Movsar Evloev, 15-0-0,"5' 7""",145,"72""",Orthodox,"Feb 11, 1994",4.32,44,2.79,63,4,47,71,0.4
891,Marius Enache, 3-3-0,"5' 11""",155,--,,"Oct 16, 1975",1.71,34,0.66,84,3.94,100,0,3.9
892,Jamall Emmers, 18-5-0,"5' 10""",145,"74""",Orthodox,"Jul 24, 1989",5.75,52,4.65,54,2.9,53,100,0
893,Leon Edwards, 19-3-0 (1 NC),"6' 2""",170,"74""",Southpaw,"Aug 25, 1991",2.62,49,2.15,55,1.48,35,70,0.3
894,Cody East, 12-3-0,"6' 3""",245,--,Orthodox,"Jun 29, 1988",4.15,43,7.32,40,3.97,100,16,0
895,Billy Evangelista, 13-3-0 (1 NC),"5' 8""",155,"68""",Orthodox,"Oct 07, 1980",4.51,40,3.96,61,1.6,19,61,0.2
896,Jake Ellenberger, 31-15-0,"5' 9""",170,"71""",Orthodox,"Mar 28, 1985",2.47,39,2.83,60,2.04,47,86,0.4
897,Jordan Espinosa, 15-9-0 (1 NC),"5' 6""",125,"69""",Orthodox,"Nov 08, 1989",4.22,52,2.94,57,0.75,28,70,0.2
898,Mark Eddiva, 6-3-0,"5' 8""",145,"68""",Orthodox,"Feb 16, 1986",3.37,45,2.98,54,1.45,22,63,0
899,Saul Elizondo, 6-8-0,"5' 7""",135,--,,"Jul 17, 1985",2.07,30,4.93,48,2,100,66,1
900,Brian Ebersole, 51-18-1 (1 NC),"6' 0""",170,"73""",Southpaw,"Nov 27, 1980",2.32,49,2.14,56,1.7,23,61,0.1
901,Tim Elliott, 18-11-1,"5' 7""",125,"66""",Southpaw,"Dec 24, 1986",3.35,45,2.49,59,4.01,49,58,1.1
902,Joe Ellenberger, 15-2-0,"5' 9""",155,"72""",Orthodox,"Mar 28, 1985",1.62,47,3.45,48,3.17,40,0,1.1
903,Neal Ewing, 6-0-0,--,185,--,,"Sep 30, 1985",2.27,60,1.93,48,5,62,0,0
904,Eddy Ellis, 21-16-1 (1 NC),"5' 9""",170,--,Orthodox,--,3.4,69,1.53,68,4,66,50,2
905,Mike Easton, 13-6-0,"5' 6""",135,"70""",Southpaw,"Jan 25, 1984",3.51,37,4.28,61,0.75,22,66,0
906,Jessica Eye, 15-9-0 (1 NC),"5' 6""",125,"66""",Orthodox,"Jul 27, 1986",3.76,37,4.01,55,0.45,40,57,0.5
907,Justin Eilers, 19-7-1,"6' 1""",235,--,Orthodox,"Jun 28, 1978",2.86,43,5.66,49,0.82,25,50,0
908,Tonya Evinger, 19-8-0 (1 NC),"5' 7""",135,"70""",Orthodox,"Jun 04, 1981",1.16,42,4.02,38,0.93,30,33,0.9
909,Aleksander Emelianenko, 23-7-0,"6' 6""",255,--,Orthodox,"Aug 02, 1981",2.75,41,1.7,65,2.32,72,66,0.9
910,Cole Escovedo, 17-9-0,"5' 7""",135,"72""",Orthodox,"Aug 30, 1981",1.77,43,4.32,49,0.43,33,13,0
911,Justin Edwards, 9-5-0,"5' 10""",155,"70""",Orthodox,"Jan 26, 1983",2.68,42,3.32,51,2.14,26,27,1
912,Andre Ewell, 17-7-0,"5' 8""",135,"75""",Southpaw,"Jan 21, 1988",4.42,41,4.25,52,0.29,66,70,0.1
913,Kenny Ento, 14-15-0,"6' 2""",192,--,,--,8.41,79,0,100,5.49,100,0,11
914,John Elam, 2-0-0,--,--,--,,--,0,0,0,0,0,0,0,0
915,Rashad Evans, 19-8-1,"6' 0""",205,"75""",Orthodox,"Sep 25, 1979",2.14,37,2.42,63,2.98,44,73,0
916,Kevin Engel, 5-1-0,"6' 2""",170,--,,--,0,0,0,0,0,0,0,0
917,Jon Olav Einemo, 6-3-0,"6' 6""",253,--,Orthodox,"Dec 10, 1975",2.15,52,3.05,52,1.73,55,43,0
918,Ramazan Emeev, 20-4-0,"5' 10""",170,"76""",Southpaw,"May 23, 1987",2.5,45,1.98,66,2.33,29,66,0.5
919,Efrain Escudero, 28-12-0,"5' 9""",155,"71""",Orthodox,"Jan 15, 1986",2.92,44,2.3,63,1.31,40,66,0.8
920,Sovannahry Em, 3-1-0,"5' 4""",135,--,,"Jun 26, 1992",0,0,0,0,0,0,0,0
921,Julian Erosa, 25-10-0,"6' 1""",145,"74""",Southpaw,"Jul 31, 1989",5.1,47,5.78,50,1.29,54,58,0.9
922,Ben Earwood, 12-3-0,"5' 8""",170,--,Orthodox,--,0.5,55,0.2,33,3,100,0,0
923,Aaron Ely, 5-2-0,"5' 8""",135,--,,"Mar 18, 1989",0.82,15,0.66,69,2.47,100,50,4.9
924,Dan Evensen, 11-4-0,"6' 3""",250,--,Orthodox,"Jun 01, 1974",0.27,10,3.86,38,0,0,0,4
925,John Paul Elias, 3-1-0,"6' 4""",205,--,,--,0,0,0,0,0,0,0,0
926,Vincent Eazelle, 9-2-0,"5' 11""",155,--,,"Dec 07, 1980",0,0,0,0,0,0,0,0
927,Ashlee Evans-Smith, 6-5-0,"5' 8""",135,"67""",Orthodox,"Jul 09, 1987",4.54,34,4.69,55,1.1,23,66,0
928,Joselyne Edwards, 10-3-0,"5' 8""",135,"70""",Orthodox,"Sep 29, 1995",4.2,53,3.83,46,0.5,16,37,0.5
929,Anna Elmose, 3-2-0,"5' 3""",115,--,Orthodox,"Oct 06, 1984",3.68,49,4.64,56,0,0,33,0
930,Doug Evans, 13-10-0,"5' 9""",155,--,Orthodox,"Oct 10, 1980",1.79,35,2.55,55,3.19,83,69,0.6
931,Tom Egan, 7-5-0,"5' 11""",170,--,Orthodox,--,0,0,3.91,50,0,0,28,0
932,Lisa Ellis, 15-11-0,"5' 4""",115,--,,"Nov 15, 1982",1.68,48,2.32,57,4.19,63,50,0.6
933,Cameron Else, 10-5-0,"5' 9""",135,"71""",Switch,"Apr 27, 1987",1.92,36,5.58,58,0,0,0,0
934,Andy Enz, 10-4-0,"6' 3""",185,"78""",Orthodox,"Aug 15, 1991",3.51,23,5.32,57,0,0,58,0
935,Konstantin Erokhin, 9-3-0,"5' 11""",230,--,Orthodox,"Jan 31, 1983",1.07,36,1.83,47,0,0,70,0
936,Won Jin Eoh, 5-5-1,"5' 7""",160,--,Orthodox,--,3.74,44,3.58,46,0,0,50,0
937,Tom Erikson, 9-4-1,"6' 3""",280,--,Orthodox,--,0.94,47,1.87,25,4.68,60,100,6.2
938,Terry Etim, 16-5-0,"6' 1""",155,"73""",Orthodox,"Jan 11, 1986",2.16,35,2.53,67,0.43,30,39,1.4
939,Alex Enlund, 14-2-0 (1 NC),"5' 10""",145,--,Orthodox,"May 27, 1987",0,0,0,0,0,0,0,0
940,Bobby Escalante, 5-6-0,--,130,--,,--,0,0,0,0,0,0,0,0
941,Per Eklund, 14-5-1,"5' 10""",155,"72""",Orthodox,--,2.07,61,2.38,67,2.07,11,50,3.6
942,Marvin Eastman, 18-15-1,"5' 9""",185,"73""",Orthodox,"Jun 08, 1971",2.21,35,3.92,42,1.38,33,81,0
943,Ross Ebanez, 20-10-0 (3 NC),"5' 9""",154,--,Southpaw,"May 18, 1975",0.74,50,0.74,62,3.7,100,0,0
944,Stephanie Egger, 5-2-0,"5' 6""",135,"68""",Orthodox,"Aug 12, 1988",0.67,31,1.33,52,1,16,40,0
945,Jodie Esquibel, 6-6-0,"5' 1""",115,"64""",Orthodox,"May 07, 1986",4.1,31,7.37,52,0.75,21,83,0
946,Evan Esguerra, 8-7-0 (1 NC),--,145,--,,--,0,0,0,0,0,0,0,0
947,Brady Fink, 2-3-0,"6' 0""",183,--,Orthodox,--,1.69,41,1.69,61,3.63,25,0,3.6
948,Glaico Franca Moreira, 15-5-0,"6' 0""",155,"77""",Orthodox,"Feb 28, 1991",2.35,42,3.46,47,2.68,42,76,0.3
949,Ron Faircloth, 33-20-0 (1 NC),"5' 9""",205,--,Orthodox,"Aug 16, 1979",0.39,40,8.9,42,0,0,0,0
950,Timo Feucht, 8-1-0,"6' 3""",205,"79""",Orthodox,"Jan 18, 1996",0,0,0,0,0,0,0,0
951,Francisco France, 13-5-1,"6' 0""",205,--,,"Jan 21, 1983",0.54,33,3.51,27,0,0,0,6.1
952,John Franchi, 6-2-0,"5' 6""",145,"67""",Orthodox,"Jul 16, 1982",1.83,48,2.59,48,2.68,80,40,0.3
953,Xavier Foupa-Pokam, 32-22-0,"6' 1""",185,--,Open Stance,"Jul 03, 1982",1.47,43,2.5,49,0,0,16,0
954,Caros Fodor, 11-6-0,"5' 9""",155,"74""",Orthodox,"Jan 07, 1984",2.76,54,2.83,54,2.1,25,50,0
955,Don Frye, 20-9-1 (1 NC),"6' 1""",219,--,Orthodox,"Nov 23, 1965",2.87,64,3.57,37,0.91,57,45,0.7
956,Stephanie Frausto, 8-7-0,"5' 2""",115,"61""",Orthodox,"Sep 20, 1990",1.43,21,3.57,60,0,0,0,0
957,Marcel Fortuna, 9-3-0,"6' 1""",205,"74""",Orthodox,"Oct 22, 1985",3.83,46,4.52,64,0.45,8,75,0.5
958,Paulo Filho, 23-6-3,"5' 8""",185,--,Southpaw,"May 24, 1978",1.86,48,1.67,66,2.4,32,42,1.6
959,Willamy Freire, 26-6-0,"5' 8""",155,--,,"Jul 28, 1987",1.53,37,0.93,62,0.5,100,73,0
960,Mal Foki, 5-5-0,"5' 7""",220,--,Orthodox,--,2.86,14,14.29,54,0,0,0,0
961,Bryanna Fissori, 2-4-0,"5' 4""",145,--,,--,1.4,46,1.2,57,2,25,50,0
962,Brian Foster, 27-10-0,"5' 9""",170,"71""",Orthodox,"Apr 03, 1984",3.3,39,1.63,65,3.67,60,37,1.8
963,Kelly Faszholz, 4-2-0,"5' 8""",135,--,Orthodox,"Apr 09, 1985",4.01,48,3.61,52,0,0,44,0
964,Wagnney Fabiano, 16-4-0,"5' 6""",145,"69""",Southpaw,"Jul 14, 1975",1.19,38,0.66,70,3.44,64,100,0.4
965,Spencer Fisher, 24-9-0,"5' 7""",155,"68""",Southpaw,"May 09, 1976",3.17,43,3.03,64,0.67,30,60,0.8
966,Chris Fishgold, 18-4-1,"5' 8""",145,"68""",Orthodox,"Jun 06, 1992",2.01,32,2.7,46,2.59,46,44,1.3
967,AJ Fonseca, 5-4-0,"5' 4""",145,--,,--,0,0,0,0,0,0,0,0
968,Jeremy  Freitag, 6-10-0,"6' 1""",205,--,,--,0,0,8.37,19,0,0,33,1.9
969,Joao Paulo Faria, 1-1-0,"5' 9""",155,--,,--,6.69,64,2.09,85,1.25,50,0,1.2
970,Rico Farrington, 7-3-0,"6' 4""",170,"79""",Southpaw,"Jun 19, 1989",6.33,41,7.2,51,0,0,20,0
971,Ron Fields, 28-32-1,"6' 2""",200,--,Orthodox,"Nov 18, 1974",0.33,33,2.64,11,0,0,0,0
972,Riki Fukuda, 24-9-0 (1 NC),"6' 0""",185,"73""",Southpaw,"Jan 06, 1981",4.24,43,3.71,64,2.17,43,70,0
973,Bartosz Fabinski, 15-5-0,"6' 0""",170,"75""",Orthodox,"Apr 26, 1986",2.23,68,1.46,51,7.1,70,80,0
974,Travis Fulton, 253-53-10 (1 NC),"6' 0""",240,--,Orthodox,"May 29, 1977",0,0,0,0,0,0,0,0
975,Paul Felder, 17-6-0,"5' 11""",155,"70""",Orthodox,"Apr 25, 1984",3.7,44,3.44,48,0.29,28,64,0.2
976,Luke Flores, 9-2-0,"6' 0""",155,"73""",Southpaw,"Mar 17, 1988",1.56,44,1.88,60,0,0,40,1.2
977,Jesse Forbes, 15-5-0,"6' 2""",185,"75""",Southpaw,"Oct 24, 1984",2.11,24,4.06,53,1.79,75,66,1.2
978,Donavon Frelow, 6-3-0,"5' 7""",135,--,Orthodox,"Jan 20, 1985",2.4,27,3.2,52,1,100,26,0
979,Zoila Frausto, 13-5-0,"5' 4""",135,--,Orthodox,--,0.77,31,1.64,53,0,0,57,0
980,Matt Foki, 5-4-0 (1 NC),"5' 7""",220,--,Orthodox,--,0,0,3.37,56,0,0,0,0
981,Justin Frazier, 10-3-0,"6' 0""",265,"75""",Southpaw,"Jun 15, 1989",1.11,66,6.11,4,0,0,0,0
982,Rich Franklin, 29-7-0 (1 NC),"6' 1""",185,"76""",Southpaw,"Oct 05, 1974",4.1,44,2.07,62,1.31,66,63,0.7
983,Sam Fulton, 0-2-0,--,--,--,,--,0,0,0,0,0,0,0,0
984,Francisco Figueiredo, 12-3-1 (1 NC),"5' 6""",135,"69""",Southpaw,"Oct 23, 1989",1.93,54,2.07,76,4,66,100,0
985,Cody Floyd, 2-0-0,--,--,--,,"Jul 18, 1988",0,0,0,0,0,0,0,0
986,Artem Frolov, 11-0-0,"5' 10""",185,--,,"Sep 07, 1991",0,0,0,0,0,0,0,0
987,Melinda Fabian, 4-4-2,"5' 6""",125,"66""",,"Jun 25, 1987",4.03,41,4,62,0,0,100,0
988,Jason Freeman, 6-4-0 (1 NC),"6' 2""",225,--,,"Sep 02, 1976",0,0,0,0,0,0,0,0
989,Jason Fairn, 4-5-0,"6' 1""",230,--,,--,0,0,0,0,0,0,0,0
990,Rodney Faverus, 25-20-3 (1 NC),"6' 0""",215,--,Southpaw,--,2.3,53,1.6,54,4.5,100,25,0
991,Jan Finney, 11-12-0,"5' 8""",135,--,Orthodox,--,2.16,28,8.75,42,0.77,11,25,0
992,Diego Ferreira, 17-4-0,"5' 9""",155,"74""",Orthodox,"Jan 18, 1985",4.7,37,3.38,56,0.81,24,66,0.8
993,Rinat Fakhretdinov, 18-1-0,"6' 0""",185,--,,"Sep 28, 1991",0,0,0,0,0,0,0,0
994,Manon Fiorot, 7-1-0,"5' 7""",125,"65""",Orthodox,"Feb 17, 1990",8,50,1.98,80,1.75,100,100,0
995,Deiveson Figueiredo, 20-2-1,"5' 5""",125,"68""",Orthodox,"Dec 18, 1987",3.24,56,3.4,49,1.54,52,58,2.1
996,Ty Flores, 7-3-0,"6' 3""",205,"73""",Switch,"Dec 22, 1993",2,37,7.8,25,1,9,0,0
997,Claudionor Fontinelle, 10-15-1,"5' 5""",185,--,Orthodox,--,2.62,42,10.25,28,0,0,0,0
998,Urijah Faber, 35-11-0,"5' 6""",135,"67""",Orthodox,"May 14, 1979",2.65,40,2.59,64,1.54,30,58,0.8
999,Bibiano Fernandes, 20-3-0,"5' 7""",139,--,Orthodox,"Mar 30, 1980",2.91,40,2.02,72,3.97,53,77,0.6
1000,Ian Freeman, 20-7-1,"5' 11""",225,--,Orthodox,"Nov 10, 1966",2.54,48,3.11,44,1.44,40,80,0.7
1001,Rob Font, 19-4-0,"5' 8""",135,"71""",Orthodox,"Jun 25, 1987",5.58,43,3.57,61,1.2,40,53,0.6
1002,Codale Ford, 11-9-0,"5' 9""",170,--,,"May 13, 1979",0,0,0,0,0,0,0,0
1003,Zane Frazier, 4-11-0,"6' 5""",250,--,Orthodox,--,0,0,0,0,0,0,0,0
1004,Jesse Fujarczyk, 2-2-0,"6' 4""",225,--,Southpaw,"Jan 28, 1983",1.03,33,4.91,38,0,0,25,0
1005,Clay French, 19-7-0,"5' 7""",161,--,Southpaw,"Oct 07, 1980",1.52,50,1.27,16,0,0,100,0
1006,Keisuke Fujiwara, 17-12-5,"5' 6""",139,--,Switch,--,0.73,44,1.2,47,0,0,23,2.5
1007,Carlos Felipe, 11-1-0,"6' 0""",245,"75""",Orthodox,"Jan 12, 1995",4.88,46,5.62,50,0,0,72,0
1008,Andre Fili, 21-8-0,"5' 11""",145,"74""",Orthodox,"Jun 25, 1990",3.73,36,3.9,52,2.5,49,64,0.2
1009,Kazuyuki Fujita, 15-12-0,"6' 0""",235,--,Orthodox,"Oct 16, 1970",1.05,49,1.99,52,2.78,36,85,0.6
1010,Isi Fitikefu, 6-0-0,"5' 10""",205,--,,--,0,0,0,0,0,0,0,0
1011,Cezar Ferreira, 13-8-0,"6' 1""",185,"78""",Southpaw,"Feb 15, 1985",1.9,42,2.44,53,2.69,53,84,0.5
1012,Tony Ferguson, 26-6-0,"5' 11""",155,"76""",Orthodox,"Feb 12, 1984",5.15,45,3.78,59,0.42,42,67,1.1
1013,Mike French, 9-10-0,"5' 10""",145,--,,"May 29, 1975",0.23,23,2.17,42,0,0,22,1
1014,Edward Faaloloto, 2-5-0,--,155,"70""",,"Jul 15, 1984",2.28,32,6.25,44,1.01,25,33,0
1015,Scott Fiedler, 0-1-0,"6' 4""",235,--,Orthodox,--,0,0,0,0,0,0,0,0
1016,Zarah Fairn, 6-4-0,"5' 8""",135,"72""",Orthodox,"Dec 10, 1983",1.98,45,6.61,39,0,0,50,0
1017,Kenny Florian, 14-6-0,"5' 10""",145,"74""",Southpaw,"May 26, 1976",2.41,40,1.85,63,2.22,33,60,1.3
1018,Megumi Fujii, 26-3-0,"5' 3""",113,--,,"Apr 26, 1974",2.4,42,0,100,0,0,0,12
1019,Alexandre Ferreira, 18-6-0,"5' 7""",205,--,Orthodox,"Apr 25, 1979",2.57,60,8.14,42,0,0,0,0
1020,Edwin Figueroa, 9-5-0,"5' 7""",135,"69""",Orthodox,"Jul 31, 1984",2.57,39,3.06,51,0.2,100,37,0.6
1021,Ricardo Funch, 9-6-0,"5' 10""",170,"74""",Southpaw,"Aug 14, 1980",2.61,65,3.57,40,1.24,18,60,0
1022,Sarah Frota, 9-2-0,"5' 6""",125,"69""",Southpaw,"Apr 14, 1987",4.52,52,2.57,55,0,0,53,0
1023,Kalindra Faria, 18-8-1,"5' 7""",125,--,Switch,"Jul 23, 1986",2.23,56,1.44,45,1.31,66,20,0.7
1024,Gary Frazier, 3-3-0,"6' 0""",245,--,Orthodox,--,1.5,39,2.77,46,0,0,100,0
1025,Luigi Fioravanti, 26-15-0,"5' 8""",170,"70""",Orthodox,"Jan 22, 1981",2.23,42,2.21,69,3.76,63,67,0.9
1026,Jussier Formiga, 23-8-0,"5' 5""",125,"67""",Orthodox,"Apr 14, 1985",1.42,39,2.34,64,1.82,35,87,0.6
1027,AJ Fletcher, 7-0-0,"5' 9""",170,--,,"Feb 18, 1997",0,0,0,0,0,0,0,0
1028,Jinh Yu Frey, 10-6-0,"5' 3""",115,"65""",Southpaw,"May 20, 1985",1.79,40,3.35,44,1.06,42,83,0.7
1029,Josh Ferguson, 10-5-0,"5' 5""",125,--,Orthodox,"May 13, 1988",2.13,43,4.18,32,0.59,11,54,0
1030,Maiquel Falcao, 37-10-0 (1 NC),"5' 11""",185,--,Orthodox,"Mar 08, 1981",1.67,55,0.53,86,1,100,71,3
1031,Kevin Ferguson, 5-2-0 (1 NC),"6' 2""",235,"77""",Orthodox,"Feb 08, 1974",2.3,50,3.41,38,3.1,72,36,1.2
1032,Rafael Fiziev, 9-1-0,"5' 8""",155,"71""",Switch,"Mar 05, 1993",4.67,57,4.17,55,0.84,50,100,0
1033,Alejandro Flores, 17-3-0,"5' 10""",145,"73""",Orthodox,"Aug 06, 1991",3.66,40,2.02,54,0,0,0,0
1034,JP Felty, 4-5-0,--,170,--,,"Apr 28, 1979",0,0,0,0,0,0,0,0
1035,Colin Fletcher, 14-8-0,"6' 2""",155,--,Orthodox,"Jan 08, 1983",3.1,34,2.97,62,0,0,27,0
1036,Tony Fryklund, 14-9-1,"6' 0""",185,--,Orthodox,"Mar 26, 1971",3.49,39,6.5,43,0,0,66,0.5
1037,Sterling Ford, 15-7-0,"5' 10""",155,--,,"Mar 12, 1986",0,0,0,0,0,0,0,0
1038,Brandon Foxworth, 18-4-0,"5' 11""",145,--,Orthodox,"Apr 28, 1979",1.33,32,4.59,50,0,0,0,0
1039,Matt Frevola, 8-3-1,"5' 9""",155,"71""",Orthodox,"Jun 11, 1990",2.73,37,3.49,58,2.58,37,40,1.1
1040,Mason Fowler, 2-0-0,"5' 11""",170,--,,--,0,0,0,0,0,0,0,0
1041,CJ Fernandes, 14-8-3,"6' 2""",170,--,,"Nov 13, 1977",0,0,0,0,0,0,0,0
1042,Jimmy Flick, 16-5-0,"5' 7""",125,"68""",Orthodox,"Sep 07, 1990",1.99,58,2.3,50,1.81,50,0,7.2
1043,Rhadi Ferguson, 3-0-0,"5' 7""",205,--,,--,0,0,0,0,0,0,0,0
1044,Katsuhisa Fujii, 9-18-1,"6' 0""",205,--,Orthodox,"Aug 15, 1972",4,50,4.43,64,2.14,25,50,2.1
1045,Katsuaki Furuki, 1-1-0,"6' 0""",168,--,,"Nov 10, 1980",0.27,10,2.67,39,0,0,0,3
1046,Drew Fickett, 42-21-0,"5' 10""",155,"70""",Orthodox,"Dec 14, 1979",2.33,41,2.29,57,1.3,35,30,2.2
1047,Brodie Farber, 16-7-0,"6' 1""",170,--,Orthodox,"Jul 05, 1980",1.69,45,2.17,53,0.9,50,20,0.9
1048,Masio Fullen, 11-7-0,"5' 10""",145,"70""",Orthodox,"Oct 06, 1986",2.46,32,3.5,54,0.47,33,69,0
1049,Masakatsu Funaki, 39-13-2,"6' 0""",185,--,Southpaw,"Mar 13, 1969",1.82,68,2.92,35,0,0,0,5.5
1050,Patricio Freire, 26-4-0,"5' 5""",145,"65""",,"Jul 07, 1987",2.84,41,4.43,60,0.6,18,94,0.6
1051,Mirko Filipovic, 35-11-2 (1 NC),"6' 2""",230,"73""",Southpaw,"Sep 10, 1974",2.11,50,1.89,63,0.19,40,78,0.3
1052,Chance Farrar, 8-3-0 (1 NC),"5' 9""",145,--,Southpaw,"Sep 11, 1975",0.81,22,2.21,67,3.02,100,0,0
1053,Patricky Freire, 17-8-0,"5' 7""",155,"71""",,"Jun 01, 1986",3.06,44,3.34,69,1.26,33,100,0
1054,Scott Ferrozzo, 4-2-0,"5' 11""",323,--,Orthodox,"Apr 26, 1965",0,0,0,0,0,0,0,0
1055,Hermes Franca, 24-17-0 (1 NC),"5' 6""",155,"71""",Orthodox,"Aug 26, 1974",1.78,39,2.85,55,1.53,36,37,2.4
1056,Anthony Figueroa, 11-8-1,"5' 4""",135,--,Orthodox,--,2.37,48,3.77,49,0,0,58,0
1057,Renee Forte, 8-4-0,"5' 7""",155,"71""",Orthodox,"Mar 27, 1987",2.08,32,2.12,63,2.32,58,66,0
1058,Jesse Finney, 5-1-0,"6' 0""",170,--,,"Jul 11, 1974",0,0,0,0,0,0,0,0
1059,Rafael Freitas, 3-6-0 (1 NC),--,205,--,Orthodox,--,2,29,8,51,11.25,50,0,0
1060,Luiz Firmino, 19-8-0,"5' 6""",154,--,Orthodox,"Mar 18, 1982",1.23,50,1.22,51,3.86,45,20,0.9
1061,Jon Fitch, 30-7-1 (1 NC),"6' 0""",170,"74""",Orthodox,"Feb 24, 1978",2.61,50,1.65,54,3.6,51,56,0.8
1062,Bobby Flynn, 6-4-0,--,170,--,,--,0.38,25,0.77,0,0,0,0,0
1063,Jason Gonzalez, 11-5-0,"6' 2""",155,"74""",Southpaw,"Feb 28, 1990",3.06,39,3.13,58,0,0,30,1
1064,Wang Guan, 20-1-1,"5' 9""",145,"71""",Orthodox,"Mar 14, 1986",4.73,43,3.27,60,0,0,0,0
1065,Chris Gutierrez, 16-3-2,"5' 9""",145,"67""",Orthodox,"Apr 22, 1991",4.3,57,2.45,59,0.57,60,73,0.2
1066,Paul Georgieff, 6-2-0,"6' 2""",170,--,Orthodox,"Sep 22, 1982",2.55,40,2.34,35,0,0,0,0
